,pointest,lb,ub,interval width,coverage,estimator,budget,MSE,log interval width
0,0.05802202724383787,-0.17239462823364055,0.2884386827213163,0.46083331095495683,True,adaptive-plugin,0.1,0.0034611998925183273,-0.7747188828144304
1,-0.01705374096121237,-0.15298927209913912,0.11888179017671438,0.2718710622758535,True,adaptive-balance,0.1,0.0002638612014418477,-1.3024273608271442
2,-0.04382694401217224,-0.4006259523523462,0.31297206432800173,0.713598016680348,True,random,0.1,0.0018504629831494672,-0.33743547703585564
3,0.0016251040161069374,-0.2844597553007007,0.2877099633329146,0.5721697186336153,True,aipw_full,1.0,5.929419606622952e-06,-0.5583196207143835
4,-0.08789246128158912,-0.4284766768206766,0.25269175425749835,0.6811684310781749,True,adaptive-plugin,0.1,0.007583366219196693,-0.38394567437056887
5,-0.013567538106166177,-0.1538710690860243,0.12673599287369194,0.28060706195971624,True,adaptive-balance,0.1,0.00016275641293174648,-1.2707999442758138
6,-0.09241970428556145,-0.4866309621861934,0.3017915536150705,0.7884225158012639,True,random,0.1,0.008392349655620688,-0.2377211452563912
7,0.002670431993923139,-0.2834185399683955,0.2887594039562418,0.5721779439246373,True,aipw_full,1.0,1.2112960982330519e-05,-0.558305245203704
8,-5.107919543601014e-05,-0.2560648966308966,0.2559627382400246,0.5120276348709212,True,adaptive-plugin,0.1,5.758635646246315e-07,-0.6693766810419246
9,0.14383738802007118,-0.02336749857070361,0.311042274610846,0.33440977318154963,True,adaptive-balance,0.1,0.020922848329925695,-1.095388172177282
10,0.022453103570831412,-0.3282480352016004,0.3731542423432632,0.7014022775448636,True,random,0.1,0.0005411690074619715,-0.35467369414009425
11,0.0022346175292613513,-0.2839589263456676,0.2884281614041903,0.5723870877498579,True,aipw_full,1.0,9.269305850679238e-06,-0.5579397896432761
12,-0.07862783267158957,-0.3721645841016395,0.21490891875846035,0.5870735028600998,True,adaptive-plugin,0.1,0.0060556250511279944,-0.5326052491735466
13,-0.041859439385743547,-0.1829891734854463,0.0992702947139592,0.2822594681994055,True,adaptive-balance,0.1,0.0016850617328254254,-1.2649285310786664
14,0.09719252059002392,-0.2482543334620566,0.44263937464210446,0.6908937081041611,True,random,0.1,0.009604481486675292,-0.3697692903400274
15,0.0025514321273564233,-0.2834484030226664,0.28855126727737923,0.5719996703000456,True,aipw_full,1.0,1.1298795310175504e-05,-0.558616864001027
16,0.027951517172225326,-0.31982594694431965,0.3757289812887703,0.69555492823309,True,adaptive-plugin,0.1,0.0008272211853486228,-0.3630452941259273
17,-0.04009935982741342,-0.21257752505612643,0.1323788054012996,0.344956330457426,True,adaptive-balance,0.1,0.0015436588291017448,-1.0643374483467696
18,-0.09542362948575067,-0.42285312141831266,0.23200586244681132,0.654858983865124,True,random,0.1,0.008951751005639302,-0.4233353583344645
19,0.0015325110543006337,-0.28468765196896534,0.2877526740775666,0.5724403260465319,True,aipw_full,1.0,5.487057939179419e-06,-0.557846782966338
20,-0.00856825126587768,-0.259318416720336,0.24218191418858065,0.5015003309089167,True,adaptive-plugin,0.1,6.019145663589518e-05,-0.6901510117420462
21,-0.07853683606538575,-0.22755874454116223,0.07048507241039073,0.29804381695155296,True,adaptive-balance,0.1,0.006041471002502049,-1.2105147665353984
22,0.04823366716841804,-0.337357644478043,0.4338249788148791,0.7711826232929221,True,random,0.1,0.0024052750062343894,-0.25983006797683744
23,0.0015289302094118051,-0.2846823683402996,0.2877402287591232,0.5724225970994228,True,aipw_full,1.0,5.470294882908125e-06,-0.5578777542673595
24,0.0324879487425922,-0.18931498382954234,0.25429088131472677,0.44360586514426914,True,adaptive-plugin,0.1,0.0011087491245920923,-0.8128188018975033
25,-0.08353128319605019,-0.20643302445397865,0.03937045806187826,0.2458034825158569,True,adaptive-balance,0.1,0.006842821291217869,-1.4032229138632748
26,0.011263320526013976,-0.38498053891395695,0.4075071799659849,0.7924877188799418,True,random,0.1,0.0001457635217872902,-0.23257827003223758
27,0.0012134955821131443,-0.2849944473843962,0.2874214385486225,0.5724158859330187,True,aipw_full,1.0,4.094275140291344e-06,-0.5578894784826154
28,-0.015583486764229937,-0.2924419844056334,0.26127501087717353,0.5537169952828069,True,adaptive-plugin,0.1,0.0002182578038421311,-0.5911015615971645
29,-0.001743079731764019,-0.14152733733213263,0.1380411778686046,0.2795685152007372,True,adaptive-balance,0.1,8.707573289087785e-07,-1.2745078815412716
30,0.21996843418094603,-0.19135083271878256,0.6312877010806746,0.8226385337994571,True,random,0.1,0.04874308871496468,-0.19523838037405994
31,0.0014335937491835038,-0.2847736769736748,0.2876408644720418,0.5724145414457166,True,aipw_full,1.0,5.033425483556055e-06,-0.5578918272799045
32,0.03517810882030836,-0.3151372641631767,0.38549348180379345,0.7006307459669702,True,adaptive-plugin,0.1,0.0012951393659475963,-0.3557742839876008
33,-0.00839878134571137,-0.14525558303105546,0.12845802033963272,0.2737136033706882,True,adaptive-balance,0.1,5.759057453324068e-05,-1.2956729624143355
34,-0.03600810716917158,-0.36799779623843,0.29598158190008683,0.6639793781385168,True,random,0.1,0.0012389112576065373,-0.4095041870082884
35,0.003323781389003244,-0.2826019625335386,0.2892495253115451,0.5718514878450837,True,aipw_full,1.0,1.7087618987992228e-05,-0.5588759579482345
36,0.028032282369602757,-0.2961985742818747,0.3522631390210802,0.6484617133029549,True,adaptive-plugin,0.1,0.0008318735572412945,-0.4331523158228489
37,-0.051644685048077066,-0.22165201996763476,0.11836264987148062,0.3400146698391154,True,adaptive-balance,0.1,0.0025841717164889655,-1.0787665157170838
38,-0.07371125721497973,-0.4548049672647807,0.30738245283482124,0.7621874200996019,True,random,0.1,0.005314602643075398,-0.2715627954022737
39,0.0012428941824405015,-0.2841658811419746,0.2866516695068556,0.5708175506488302,True,aipw_full,1.0,4.214111527436114e-06,-0.5606856463944928
40,0.03795927637208585,-0.24422993637439383,0.3201484891185655,0.5643784254929594,True,adaptive-plugin,0.1,0.001503051823598683,-0.5720302852958239
41,-0.030992759125683444,-0.195888152425504,0.13390263417413711,0.3297907865996411,True,adaptive-balance,0.1,0.0009110028152253778,-1.1092968055729986
42,-0.19168414927843458,-0.5349764208229624,0.15160812226609327,0.6865845430890557,True,random,0.1,0.03643296531609369,-0.3760259104620872
43,0.0013862723141038202,-0.2847381779425217,0.28751072257072935,0.5722489005132511,True,aipw_full,1.0,4.823330712336904e-06,-0.5581812414911913
44,-0.0693330849263799,-0.37072829664072965,0.23206212678796984,0.6027904234286995,True,adaptive-plugin,0.1,0.00469542194648098,-0.506185699169697
45,-0.058731303961270354,-0.20462291885580997,0.08716031093326926,0.2917832297890792,True,adaptive-balance,0.1,0.0033548848730085923,-1.231744116138293
46,-0.18825794020849201,-0.5674938138635196,0.19097793344653557,0.7584717473100552,True,random,0.1,0.03513675430279449,-0.2764497289953135
47,0.00228134630443233,-0.2830974791249204,0.28766017173378505,0.5707576508587054,True,aipw_full,1.0,9.556025938590993e-06,-0.560790588740999
48,0.14255371404600192,-0.1808362005714539,0.46594362866345773,0.6467798292349116,True,adaptive-plugin,0.1,0.02055313613841488,-0.43574933724024334
49,-0.08738143148680755,-0.22375518977434444,0.04899232680072935,0.2727475165750738,True,adaptive-balance,0.1,0.007494623840543044,-1.299208759443044
50,-0.11473706111298076,-0.5003659346904472,0.2708918124644856,0.7712577471549328,True,random,0.1,0.012979389849301111,-0.25973265887952723
51,0.00023490670661252544,-0.28454914356972716,0.2850189569829522,0.5695681005526794,True,aipw_full,1.0,1.0916961642409456e-06,-0.5628769236958004
52,-0.05169890953546552,-0.3282001723487004,0.22480235327776937,0.5530025256264698,True,adaptive-plugin,0.1,0.002589687633207392,-0.5923927103337582
53,0.015264362542064869,-0.14505967257539046,0.1755883976595202,0.32064807023491065,True,adaptive-balance,0.1,0.00025838307181452183,-1.1374111116966252
54,0.12585676864151768,-0.2377732749276305,0.48948681221066587,0.7272600871382964,True,random,0.1,0.016044454050518672,-0.31847111145441426
55,0.0014612350347467107,-0.28475929057900123,0.28768176064849466,0.5724410512274959,True,aipw_full,1.0,5.158217614053395e-06,-0.5578455161434542
56,0.04789769595575655,-0.20467927901983662,0.3004746709313497,0.5051539499511863,True,adaptive-plugin,0.1,0.002372433405268287,-0.6828920447760324
57,0.031459646353182324,-0.10429568667701794,0.1672149793833826,0.27151066606040053,True,adaptive-balance,0.1,0.0010413259416254172,-1.303753854706142
58,0.003359903886061333,-0.34540151574902483,0.3521213235211475,0.6975228392701723,True,random,0.1,1.7387564207176396e-05,-0.36022002134933956
59,0.0014612350347467107,-0.28475929057900123,0.28768176064849466,0.5724410512274959,True,aipw_full,1.0,5.158217614053395e-06,-0.5578455161434542
60,-0.018216259502020216,-0.3192503698274205,0.28281785082338007,0.6020682206508006,True,adaptive-plugin,0.1,0.00030298009981145506,-0.5073845167537204
61,0.052286155975581505,-0.09724777104498467,0.20182008299614768,0.29906785404113234,True,adaptive-balance,0.1,0.0028191949771175016,-1.2070847947452483
62,0.319214703966978,-0.04627153913372778,0.6847009470676837,0.7309724862014114,True,random,0.1,0.10241577015005983,-0.3133794585160681
63,0.0017513650214137089,-0.2836135994253302,0.2871163294681576,0.5707299288934878,True,aipw_full,1.0,6.560262634698535e-06,-0.5608391603868317
64,-0.11982149815115617,-0.43814753904824105,0.1985045427459287,0.6366520817941698,True,adaptive-plugin,0.1,0.014163751939021753,-0.45153195504866417
65,0.04211625601001978,-0.09602687232807627,0.18025938434811584,0.2762862566761921,True,adaptive-balance,0.1,0.001842657955661107,-1.286317788875494
66,0.11764431482255922,-0.24839626859554204,0.48368489824066047,0.7320811668362025,True,random,0.1,0.014031409524633102,-0.3118638875119493
67,0.0016515024657198785,-0.2845588780643299,0.28786188299576965,0.5724207610600995,True,aipw_full,1.0,6.05867904414215e-06,-0.5578809617617476
68,-0.008630759577387126,-0.3020290777599556,0.2847675586051813,0.5867966363651369,True,adaptive-plugin,0.1,6.116528230677765e-05,-0.5330769648954911
69,-0.05025015510322217,-0.20799215546936117,0.10749184526291683,0.315484000732278,True,adaptive-balance,0.1,0.0024443352705260228,-1.1536473091194233
70,0.16945176101632686,-0.1951801838910155,0.5340837059236692,0.7292638898146846,True,random,0.1,0.02898904545176161,-0.31571962370374934
71,0.0014612350347467107,-0.28475929057900123,0.28768176064849466,0.5724410512274959,True,aipw_full,1.0,5.158217614053395e-06,-0.5578455161434542
72,-0.13126337351262607,-0.42476723472564437,0.16224048770039223,0.5870077224260366,True,adaptive-plugin,0.1,0.017018099373508636,-0.5327173034892367
73,0.021711874512776896,-0.12171121636270713,0.16513496538826092,0.28684618175096804,True,adaptive-balance,0.1,0.0005072319462445604,-1.2488091589833923
74,0.008466747621558524,-0.3611420368365978,0.37807553207971484,0.7392175689163126,True,random,0.1,8.605685797285725e-05,-0.30216299146373793
75,0.0014612350347467107,-0.28475929057900123,0.28768176064849466,0.5724410512274959,True,aipw_full,1.0,5.158217614053395e-06,-0.5578455161434542
76,-0.07813101829389346,-0.5518264196958592,0.3955643831080723,0.9473908028039315,True,adaptive-plugin,0.1,0.005978549775781063,-0.05404359636741828
77,0.03033353979295128,-0.10511111766536685,0.1657781972512694,0.27088931491663626,True,adaptive-balance,0.1,0.0009699160809691888,-1.3060449735754531
78,-0.2707901333399306,-0.631523841454589,0.08994357477472775,0.7214674162293168,True,random,0.1,0.07288930698602268,-0.3264680629393351
79,0.0009782864622649434,-0.2850713992488007,0.2870279721733306,0.5720993714221313,True,aipw_full,1.0,3.197739373757858e-06,-0.5584425764285315
80,-0.020818800192262454,-0.1873551675870534,0.1457175672025285,0.3330727347895819,True,adaptive-plugin,0.2,0.0004003546485111034,-1.099394390060941
81,-0.06563132049920539,-0.19210862562134315,0.060845984622932364,0.2529546102442755,True,adaptive-balance,0.2,0.004201811895672312,-1.3745452124989337
82,0.015633239938890542,-0.24626547191785914,0.2775319517956402,0.5237974237134994,True,random,0.2,0.0002703780331109824,-0.6466502653751851
83,-0.0022141252742298168,-0.27247537981318926,0.2680471292647296,0.5405225090779189,True,aipw_full,1.0,1.9717476755318346e-06,-0.6152189978524808
84,0.02028386469462584,-0.19394518731980806,0.23451291670905974,0.4284581040288678,True,adaptive-plugin,0.2,0.00044494842537607456,-0.8475623192860176
85,-0.008711278379530674,-0.1309549436054097,0.11353238684634837,0.24448733045175808,True,adaptive-balance,0.2,6.243121228577182e-05,-1.4085917896030378
86,0.05349705588203768,-0.20187534325903406,0.3088694550231094,0.5107447982821435,True,random,0.2,0.0029492493611778313,-0.671885229805884
87,-0.001465608850298561,-0.27295928068789793,0.2700280629873008,0.5429873436751987,True,aipw_full,1.0,4.2990696024104525e-07,-0.610669267468646
88,0.047154185793077286,-0.17880273488644963,0.27311110647260417,0.45191384135905377,True,adaptive-plugin,0.2,0.002300556973995487,-0.7942637337818031
89,-0.006367258076511395,-0.11136152637178211,0.09862701021875932,0.20998853659054142,True,adaptive-balance,0.2,3.088382928608634e-05,-1.5607023374187177
90,-0.11416045861405555,-0.3767140777557495,0.1483931605276384,0.5251072382833879,True,random,0.2,0.012848340989607113,-0.6441527738525111
91,-0.002019488289550564,-0.2720108227493094,0.26797184617020825,0.5399826689195176,True,aipw_full,1.0,1.4630168769719197e-06,-0.6162182345323454
92,8.671794686554435e-06,-0.2160108975607591,0.21602824115013222,0.43203913871089134,True,adaptive-plugin,0.2,6.701186296039899e-07,-0.8392390959740523
93,-0.022036676089137508,-0.15225677646675745,0.10818342428848243,0.2604402007552399,True,adaptive-balance,0.2,0.0004505744971952477,-1.345381999782718
94,0.1048807354664067,-0.1483999535982553,0.3581614245310687,0.506561378129324,True,random,0.2,0.011170518023152408,-0.6801097817283531
95,0.0006841585343498879,-0.2719621348164715,0.2733304518851713,0.5452925867016428,True,aipw_full,1.0,2.2323183098094035e-06,-0.6064327720414088
96,0.0657117038212841,-0.09332197220000185,0.22474537984257006,0.3180673520425719,True,adaptive-plugin,0.2,0.004425128557043251,-1.1454921197521633
97,0.06220064584420126,-0.049934256976357574,0.1743355486647601,0.22426980564111765,True,adaptive-balance,0.2,0.0039703334172696255,-1.4949054624732994
98,-0.09131411005954237,-0.32811080921680963,0.14548258909772488,0.4735933983145345,True,random,0.2,0.008191005532362228,-0.7474061348791434
99,0.00027919891138372677,-0.27636339457893877,0.2769217924017062,0.553285186980645,True,aipw_full,1.0,1.1862147329010339e-06,-0.5918817015661384
100,0.05424424270224337,-0.13968407317039047,0.24817255857487722,0.3878566317452677,True,adaptive-plugin,0.2,0.0030309625863967743,-0.947119513454123
101,0.004879745749067355,-0.11462197828824819,0.1243814697863829,0.2390034480746311,True,adaptive-balance,0.2,3.2372477766802704e-05,-1.4312773000641892
102,-0.04480801373315557,-0.30254981889459814,0.212933791428287,0.5154836103228851,True,random,0.2,0.0019358308491531362,-0.6626497697785949
103,-0.0025340487657871114,-0.2789599269077383,0.2738918293761641,0.5528517562839024,True,aipw_full,1.0,2.9725650227425532e-06,-0.5926653852168199
104,6.745904374805267e-05,-0.1990242204867979,0.19915913857429401,0.3981833590610919,True,adaptive-plugin,0.2,7.698219642751111e-07,-0.920842678629373
105,-0.028184118496329513,-0.14605055829476116,0.08968232130210213,0.2357328795968633,True,adaptive-balance,0.2,0.0007493458704160706,-1.4450559811157273
106,0.02132333211210591,-0.24455472483526192,0.28720138905947373,0.5317561138947356,True,random,0.2,0.0004898815548371242,-0.6315703272815026
107,-0.0024067591185078507,-0.2662672920039636,0.2614537737669479,0.5277210657709115,True,aipw_full,1.0,2.5498442511008556e-06,-0.6391874193920988
108,0.04490594028598183,-0.16203516073922053,0.2518470413111842,0.4138822020504047,True,adaptive-plugin,0.2,0.002089941339461976,-0.8821738817550356
109,-0.02402985482668829,-0.1586980859890706,0.11063837633569401,0.2693364623247646,True,adaptive-balance,0.2,0.0005391646329252482,-1.3117938916541916
110,-0.06924918072607278,-0.3343719427913808,0.19587358133923527,0.5302455241306161,True,random,0.2,0.0046839302263599995,-0.6344151266279148
111,0.0007515504668412776,-0.2616110797222863,0.26311418065596887,0.5247252603782552,True,aipw_full,1.0,2.43823981079653e-06,-0.6448804669320751
112,0.020939866274249375,-0.18490657177893868,0.22678630432743743,0.4116928761063761,True,adaptive-plugin,0.2,0.00047305389652676084,-0.88747765395964
113,-0.019656582506480724,-0.13146336978013223,0.09215020476717077,0.223613574547303,True,adaptive-balance,0.2,0.0003551960866564429,-1.4978358304772634
114,0.14241692831816882,-0.11167264634834151,0.39650650298467915,0.5081791493330207,True,random,0.2,0.020513934646332874,-0.6769212374048622
115,-0.0004913322344901605,-0.2709618200121112,0.2699791555431309,0.5409409755552421,True,aipw_full,1.0,1.0150832362254212e-07,-0.6144451085734539
116,0.027500765664301263,-0.17107125166135173,0.22607278298995426,0.397144034651306,True,adaptive-plugin,0.2,0.0008014958255461956,-0.9234562564078315
117,0.055625455333107365,-0.07202042948556625,0.18327134015178098,0.25529176963734723,True,adaptive-balance,0.2,0.0031849533885841066,-1.3653481932592615
118,-0.05908718799057566,-0.3113268196516281,0.1931524436704768,0.5044792633221049,True,random,0.2,0.003396238106116732,-0.6842285434582078
119,-0.00014248037217334808,-0.268793238556116,0.2685082778117693,0.5373015163678853,True,aipw_full,1.0,4.454969401720379e-07,-0.6211958590516689
120,-0.00905481445378642,-0.17927443894705986,0.16116481003948702,0.34043924898654687,True,adaptive-plugin,0.2,6.797802164348994e-05,-1.0775185863840733
