pointest,lb,ub,interval width,coverage,estimator,budget,MSE,log interval width
4.264705953192412,0.9400728132568386,7.589339093127986,6.6492662798711475,True,adaptive-plugin,0.1,1.9308381659288618,1.8945065147265725
3.130923070845964,2.0781324387835993,4.183713702908328,2.1055812641247282,True,adaptive-balance,0.1,0.06541478704240895,0.7445915639922172
2.9252111433141996,-2.3888355217041246,8.239257808332525,10.62809333003665,True,random,0.1,0.0025051245074526308,2.3635008093829697
3.2844437408595253,1.6263314465687004,4.94255603515035,3.3162245885816493,True,aipw_full,1.0,0.16751324235561618,1.1988269637436273
2.988662500533395,1.9093235928887595,4.068001408178031,2.1586778152892716,True,adaptive-plugin,0.1,0.012882834772261762,0.7694959117213136
3.4744864215566356,2.698089412171281,4.2508834309419905,1.5527940187707099,True,adaptive-balance,0.1,0.3591922501060977,0.4400559009659081
-2.444615822765299,-9.180937864227595,4.291706218696995,13.472644082924589,True,random,0.1,28.30001400090874,2.6006612653628416
3.2825904900275713,1.624448263874363,4.940732716180779,3.316284452306416,True,aipw_full,1.0,0.16599966574781644,1.1988450153510655
3.0322117691390735,1.003581976545028,5.060841561733119,4.05725958518809,True,adaptive-plugin,0.1,0.024665281912900308,1.4005077666950343
2.330896432996358,1.3164921331394015,3.3453007328533144,2.028808599713913,True,adaptive-balance,0.1,0.2962227481547474,0.7074487240697636
0.9799020483240506,-6.386571767064805,8.346375863712906,14.73294763077771,True,random,0.1,3.5920024171060283,2.690086321166379
3.289355466924433,1.6315428458642147,4.947168087984651,3.3156252421204364,True,aipw_full,1.0,0.17155794738633037,1.1986462158442794
3.060000648666943,1.9081921976603728,4.211809099673513,2.3036169020131396,True,adaptive-plugin,0.1,0.034166093320404524,0.8344804538404884
1.9923351799426676,0.9734473012268006,3.0112230586585347,2.037775757431734,True,adaptive-balance,0.1,0.7793795295556997,0.711858898045894
14.853723211318844,3.162130988052512,26.545315434585177,23.383184446532667,False,random,0.1,143.48597841696227,3.152017150641244
3.2802476375473333,1.622414332371931,4.938080942722736,3.315666610350805,True,aipw_full,1.0,0.1640960552834937,1.1986586925173892
2.7918491333543276,0.8387077596383135,4.744990507070342,3.9062827474320283,True,adaptive-plugin,0.1,0.006940687916880693,1.3625862178100339
3.924600974338513,3.2076037834104763,4.641598165266549,1.4339943818560723,False,adaptive-balance,0.1,1.1013265171420534,0.3604638243566942
0.48380042455797856,-6.60830085859863,7.575901707714587,14.184202566313218,True,random,0.1,5.718600257835591,2.6521288499948885
3.252286483625367,1.610196096885601,4.894376870365133,3.284180773479532,True,aipw_full,1.0,0.14222444161782485,1.1891172368107115
3.2337666349582443,-0.4278082275651536,6.895341497481642,7.323149725046795,True,adaptive-plugin,0.1,0.12859877280478257,1.9910405257318327
3.456067205038491,2.25539047577218,4.656743934304802,2.401353458532622,True,adaptive-balance,0.1,0.33745326861356445,0.8760325194541602
3.59025630911331,-0.8269201203790368,8.007432738605658,8.834352858984696,True,random,0.1,0.5113628393251134,2.1786478556621893
3.249693080222099,1.6011437417936494,4.898242418650549,3.2970986768568995,True,aipw_full,1.0,0.14027508475510173,1.1930428929280121
2.2544562726256165,-0.4299040329490902,4.938816578200323,5.3687206111494135,True,adaptive-plugin,0.1,0.385273023417137,1.6805896326771292
2.6836847131400017,1.8807941199726825,3.486575306307321,1.6057811863346387,True,adaptive-balance,0.1,0.036662756555158015,0.4736103586297161
1.349193405438072,-2.545374476057975,5.243761286934119,7.789135762992094,True,random,0.1,2.3285738172167036,2.052729911878616
3.2808169877212494,1.6229759218911601,4.938658053551339,3.3156821316601786,True,aipw_full,1.0,0.16455765296289412,1.1986633737097008
2.6332043590155427,1.0905654168691805,4.175843301161905,3.085277884292724,True,adaptive-plugin,0.1,0.05854249565601688,1.1266417292465343
3.1765679830435793,2.345850992432104,4.007284973655055,1.6614339812229506,True,adaptive-balance,0.1,0.09084681777106282,0.5076810735800751
3.9792269707992927,-0.961324307830679,8.919778249429264,9.881102557259943,True,random,0.1,1.2189640427828474,2.2906241003978995
3.281276744395554,1.6234648075987383,4.93908868119237,3.3156238735936316,True,aipw_full,1.0,0.16493087142370785,1.1986458030934446
2.5834954427576653,-0.6845287413055026,5.851519626820833,6.536048368126336,True,adaptive-plugin,0.1,0.08506816989449058,1.8773327577944472
2.8697053660837364,1.8465974312835614,3.8928133008839114,2.04621586960035,True,adaptive-balance,0.1,2.9752207225921097e-05,0.7159921700774082
9.99250330156423,-0.6814949953819447,20.666501598510408,21.347996593892354,True,random,0.1,50.65657674741914,3.0609578989200816
3.2925793162402837,1.6355370301661367,4.949621602314431,3.3140845721482943,True,aipw_full,1.0,0.17423894862306025,1.1981814383372578
4.57610744946442,1.4264009364028314,7.725813962526008,6.299413026123176,True,adaptive-plugin,0.1,2.8932224827731785,1.8404564586002117
4.58341192592404,3.5391921951379794,5.6276316567101,2.0884394615721202,False,adaptive-balance,0.1,2.918124900460219,0.7364171179762579
5.703242241207882,1.338994297390709,10.067490185025054,8.728495887634345,True,random,0.1,7.998049590226443,2.166593062640276
3.273105895877255,1.6178407336228067,4.928371058131704,3.310530324508898,True,aipw_full,1.0,0.15836099615658192,1.1971083954401602
2.9623070714101907,0.2485856797534729,5.676028463066908,5.427442783313435,True,adaptive-plugin,0.1,0.0075946252192278345,1.691468080718139
4.033409411846492,3.26142383349285,4.805394990200133,1.5439711567072827,False,adaptive-balance,0.1,1.3415418750000998,0.4343577705390288
1.4692635770741287,-2.3347076058783314,5.273234760026589,7.60794236590492,True,random,0.1,1.976544539630528,2.029192749755
3.2807436737851194,1.6227674669903354,4.938719880579903,3.3159524135895673,True,aipw_full,1.0,0.16449817770577613,1.1987448866241095
4.015881509725176,0.5853855463852504,7.446377473065102,6.860991926679851,True,adaptive-plugin,0.1,1.3012457350593938,1.9258520270107653
3.9909456271344625,3.1826730253045894,4.799218228964335,1.6165452036597454,False,adaptive-balance,0.1,1.2449777342629083,0.4802912817018918
9.20711293645977,2.2772298768905603,16.13699599602898,13.859766119138417,True,random,0.1,40.093628946003655,2.628990119098343
3.2611402947268795,1.6048395410127834,4.917441048440976,3.3126015074281927,True,aipw_full,1.0,0.14898084622103638,1.1977338345947377
1.2352640319701926,-6.884518898763561,9.355046962703947,16.239565861467508,True,adaptive-plugin,0.1,2.6892585382487924,2.787450601707951
2.380982228672062,1.3265088264908145,3.4354556308533097,2.1089468043624953,True,adaptive-balance,0.1,0.24421159502748988,0.7461886780218168
6.300284384359768,1.8678460460024828,10.732722722717053,8.864876676714571,True,random,0.1,11.731477565712087,2.182097028173297
3.2997116393534247,1.6434096668480933,4.956013611858756,3.312603945010663,True,aipw_full,1.0,0.18024415860759538,1.1977345704458708
